AKG,P0AB80
GTP,P21156
GTP,P32173
L-Met,P28635
Pyr,P37188
PEP,P0A715
ATP,P0A7E5
ATP,P00954
NAD,P09424
ATP,P08312
ATP,P00963
ADP,P0AA25
ATP,P00561
NADP,P0AEK2
ATP,P0A7B5
Pyr,P0AFG8
NADP,P00350
L-Gln,P0A6C5
NAD,P18843
ATP,P60906
ATP,P0A6A3
ATP,P22188
NAD,P07023
L-Gln,P37902
ADP,P0A6I0
Pyr,P69786
L-Phe,P08312
GTP,P0A6T5
NADP,P39831
NAD,P61889
ATP,P0A6B7
NADP,P0A9P4
Mal,P08997
ATP,P0A720
ADP,P27550
ATP,P0A799
Pyr,P0A6L2
L-Met,P00959
ADP,P08178
ATP,P68187
L-Met,P25665
ADP,P15254
ATP,P10346
ATP,P00968
ATP,P0A6I0
NADP,P37760
Pyr,P68066
ATP,P22106
GTP,P0A7D4
NAD,P38489
GMP,P0AEW6
ATP,P27550
Cit,P02931
ATP,P08178
ADP,P0AES0
ATP,P0A6I6
NAD,P0AEK4
ATP,P0A8M3
ATP,P61949
Pyr,P31142
NAD,P0AFG8
ATP,P00961
ATP,P0ABB0
ADP,P0AEE5
Cit,P36683
ATP,P0A6A8
PEP,P00887
ATP,P60757
NADP,P00561
ATP,P0A6E4
ADP,P0A6J1
ADP,P0A9C5
NADP,P76558
ATP,P0A6E1
ATP,P0AEW9
ADP,P0A7D7
ADP,P76658
ADP,P77522
PEP,P0A6P9
L-Gln,P22634
ATP,P0A763
ATP,P21888
ATP,P00959
NAD,P0A9B2
ATP,P0A6J1
Pyr,P0A9N4
PGP,P00350
L-Gln,P17169
PEP,P36672
ATP,P04805
ATP,P0AG20
ATP,P0A8M0
PEP,P0AB91
ADP,P0A7B5
NADP,P09832
GTP,P61949
R5P,P0A717
ATP,P0A717
ADP,P0A9V1
R5P,P0A6K6
NADP,P25526
ATP,P09029
ATP,P00957
Pyr,P09373
ADP,P22188
ADP,P0ABB8
GMP,P60560
ATP,P31663
ATP,P11880
PGP,P52697
L-Gln,P23721
PEP,P00888
ATP,P18843
ADP,P06999
L-Val,P0AD96
ADP,P62615
NADP,P0A9Q9
ATP,P0AGJ9
NAD,P27248
ADP,P0A720
Pyr,P69783
GMP,P0A9M2
ADP,P00452
NAD,P0ADG7
GTP,P0A763
L-Met,Q47690
NADP,P00562
ADP,P0A7E5
ATP,P04079
ATP,P06999
ATP,P33221
ATP,P0A9C5
Pyr,P0AA04
ATP,P0A7D7
NAD,P27829
ATP,P77522
ATP,P76658
G6P,P36938
Pyr,P37349
ATP,P23538
ATP,P17952
